accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
-2910,15172,-4182,-593,1656,-320
-2782,14950,-4022,-302,1365,-257
-2452,15058,-3788,-41,1225,-306
-2106,15636,-4290,164,1125,-347
-1928,15918,-4302,242,1093,-269
-1586,16058,-4422,-196,1165,-193
-1634,15546,-4436,-182,1351,-164
-1580,15114,-4300,-147,1480,-336
-1286,15268,-4388,-1,1691,-356
-878,15382,-4224,-47,2006,-403
-578,15188,-4620,-46,2419,-557
-1018,15528,-5818,-171,2185,-905
-1220,16678,-8052,-1060,2009,-1386
-3004,16362,-5614,-2438,2192,-1571
-4020,17918,-3930,-1821,2017,-963
-2832,16570,-4700,-2515,2181,-618
-1070,15184,-5116,-2641,2320,-211
6028,3930,-8684,-2569,2572,-1125
-2478,9908,-2408,1722,3156,-515
-2672,14332,-4624,2635,2468,-403
-2570,14694,-5732,162,2432,-1145
-1816,12574,-5138,152,2929,-1428
-1524,13000,-4296,1317,3979,-1222
-2398,13536,-4398,1692,4021,-1116
-3506,13984,-5310,1516,3816,-1420
-4030,14468,-4544,850,3997,-1489
-3764,15232,-4276,1077,4272,-1211
-2598,15398,-5680,399,4396,-1091
-2350,13950,-4288,-130,4497,-1176
-3172,14580,-4644,1270,4479,-1295
-4184,16812,-6126,1284,4165,-1123
-4638,17380,-7276,200,4335,-872
-3816,15610,-6258,21,4767,-669
-3282,14822,-5368,362,4470,-684
-3526,15174,-6744,569,4313,-982
-3082,16652,-8148,797,4511,-1159
-2914,19246,-8878,555,4729,-924
-5388,18946,-9006,-536,3797,-1198
-7762,19910,-9372,-770,2897,-1353
-8188,21960,-10128,-315,1655,-964
-7770,24582,-11750,-217,1349,-1003
-6048,22184,-10402,-512,1036,-1586
-4258,17582,-9642,884,1823,-2391
-698,13080,-9590,3165,3686,-2086
5702,4114,-4034,1091,6744,-1894
5412,-5982,5686,1918,7420,-1166
3574,-9856,4866,2249,5555,-746
-3706,-3626,1626,-114,3335,-1771
-6320,3894,-1384,-2770,3353,-2158
-4670,6338,-1286,-1384,3871,-302
-1000,3632,868,-971,2569,-90
1446,798,300,-1716,409,-743
1810,80,-1104,-764,270,-839
2358,1926,-1794,39,1420,-330
1844,1814,-1462,-341,2560,-104
1060,-650,-2006,-462,2569,-342
1130,-1778,-2794,257,2286,-422
774,-1636,-2312,1072,2304,-38
-198,-1940,-2800,562,2635,132
684,-4088,-2244,750,3306,-232
1914,-2520,-2734,2537,3384,-692
-250,4260,-2298,3350,2646,-1033
-1304,10280,-13424,-58,1516,-1159
-7840,16700,-32768,-2066,-2596,-3200
-22154,32767,-9520,-4637,-2776,-6127
-13118,32767,-5412,-1151,-3516,-2723
3620,-7496,32767,-9133,-4132,4242
3338,22018,-15306,3314,-2379,-327
-574,32767,-6332,724,2196,-657
-2812,29514,-3242,7212,1093,974
-8398,31264,-13808,6491,-1109,-1282
2032,32767,-16016,-638,954,357
388,26786,-4980,-3636,1146,-958
-4736,27500,-6542,-964,820,-987
-6702,29466,-9574,-1395,478,-474
-672,28146,-10608,-3620,488,403
-2568,23928,-7160,-5723,418,-721
-1752,22510,-3284,-3947,533,-557
-1084,21974,-6034,-1914,793,-310
-1614,20820,-6976,-1931,307,-590
-2316,19690,-4038,-1447,-77,-238
-732,18588,-4466,-63,-580,54
-574,18868,-5646,218,-525,112
-584,17762,-5440,-313,-501,-315
48,14240,-4236,1581,207,-202
-1014,15822,-6040,6705,787,637
-1486,21396,-4254,-2253,1099,-243
-1104,12696,-3948,-712,860,-305
-980,12850,-3112,-913,348,-137
-506,12822,-4834,-922,-164,-66
-600,13158,-4708,-1167,-167,191
-612,13596,-4234,-326,-370,372
-766,14798,-4866,6,-622,497
-1210,14740,-5928,-508,-602,747
-842,13732,-5278,-1098,-772,742
-908,13674,-3276,-1090,-1117,567
-860,12014,-2940,1171,-1150,625
-578,13288,-3730,3984,-1284,1144
-428,15164,-3160,1116,-1395,928
-572,14456,-4866,506,-1235,901
-874,14434,-4992,647,-985,1013
-1062,14440,-3768,440,-1062,1120
-984,13978,-3738,538,-1287,1064
-898,13526,-4204,46,-1201,1073
-1056,13174,-4286,-311,-1413,1094
-948,13386,-3876,-558,-1608,1162
-454,12868,-3892,-381,-1855,1324
784,13546,-5508,-553,-1578,1534
1332,13972,-5936,-768,-1695,1772
1284,13482,-6132,-1693,-1866,1580
430,12012,-4104,-2762,-2031,1515
-1132,10950,-2134,-1844,-3111,1534
-2784,12968,-4234,-553,-4581,1106
-2278,14910,-7020,-1394,-5546,203
3226,14002,-6202,-1801,-4972,-596
7524,15106,-5510,-588,-3723,-610
7480,17790,-5378,-311,-3031,-417
2498,18588,-5416,-1644,-2284,-387
-1264,15062,-4846,-1961,-2160,-660
-2222,14118,-4052,-1190,-2254,-813
-2158,14504,-2926,-616,-2912,-512
-1512,15514,-2360,96,-2662,-312
