bad_left,bad
accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
68,14448,-2960,573,88,-143
-120,15476,-2880,864,-17,-29
1274,15838,-3292,875,165,135
1270,15166,-3390,612,240,132
126,14872,-2290,436,196,191
-664,15986,-1502,565,-147,430
394,15552,-1700,773,-273,663
1632,15642,-3940,858,-304,755
1992,15490,-5554,430,-157,743
1282,15106,-4898,-151,60,497
858,13892,-3910,-327,-453,508
1896,12450,-4732,38,-529,672
1874,13114,-5478,629,-525,763
522,12736,-6044,115,-953,669
340,11322,-6280,-573,-1275,821
1210,10086,-5646,-798,-1254,1239
1504,8750,-4996,377,-1647,1245
322,9402,-5322,1121,-2098,983
-202,8482,-4892,360,-2668,1022
1056,7536,-4860,85,-2760,1488
1356,9998,-5174,883,-2949,2024
786,13730,-5108,835,-2734,2031
1390,12506,-4936,-323,-1343,1603
614,12316,-4016,-510,-760,1374
874,14942,-2908,1765,-110,1368
1516,23392,-3168,1565,1670,1248
-560,25136,-3444,1912,2085,1280
-3910,27416,-7432,2710,59,914
-2210,26772,-6330,3889,140,-295
4870,26272,-7918,6007,-913,-1077
6584,26618,-13626,5948,-953,-1351
5528,20412,-11884,5976,916,-1610
1514,13022,-2936,8727,2196,-2072
-832,12358,-1252,10175,-1190,-2009
0,17982,3434,8094,-3256,-1527
5484,11068,12218,3997,-2418,-1477
2912,5588,10148,5031,-2985,-2848
-2024,10362,-252,1321,-6723,-3214
-1696,8242,-2256,-1860,-3385,-4008
5272,3516,1302,-1723,2040,-4772
6722,570,2540,1250,4213,-4628
584,2630,-1946,2223,514,-5091
-4584,6112,-4444,-1220,-1523,-5410
-6396,4828,930,-1380,-1988,-4960
-2956,4814,936,489,-1021,-4565
1466,6702,-1516,791,952,-4387
7788,5674,2888,-924,3452,-3878
6210,7366,3132,17,-6137,-3886
9426,850,-6122,-1771,-3135,-4416
8194,-3982,-2840,100,-1570,-4042
7304,-11832,-7116,-1239,3604,-4066
3702,-16618,-4882,178,8160,-4476
-4248,-14008,-7028,2040,5331,-3734
-11732,-4348,-5470,2864,3619,-2813
-13400,4134,-3928,1037,-597,-3617
-15284,1944,-31428,-1733,-7721,-3465
-5826,4390,-25748,2879,-15763,-6328
8568,32767,-4866,8598,-12148,-11700
16108,32767,-6540,-11332,-6901,-13684
17220,12784,-32768,-6804,-3429,-14774
-4530,90,-30458,5455,5087,-15111
-32768,26574,-27076,3690,1850,-17794
-32768,32767,2280,4924,-11547,-18642
-32768,25390,-930,9275,-16704,-24507
-32768,-17828,-30372,-4607,-21758,-32086
-32768,22400,-32768,13176,-12451,-18937
-32768,15050,-3818,-7519,5035,-6985
-14106,-15462,23428,360,4534,-305
-17322,10274,4892,1841,2498,4248
-14116,4518,12390,-2838,-1942,3506
2276,-28,308,1573,-1167,5833
-1284,-5272,-330,1071,-433,6695
-6452,-18984,-2796,-942,-2210,2997
-8390,-10012,-502,-867,-1992,-1093
-6304,-7766,-1886,-1729,-3463,-1690
-7748,-16642,-898,-2903,-2072,-4030
-17384,-5052,-228,1243,-3532,-1635
-19368,-6612,1036,528,-2257,-1489
-21488,-5106,-278,62,-2760,-1415
-23634,-5582,298,-861,-2978,-1005
-21918,-7634,5744,564,-308,-442
-17804,-4202,3118,3048,-779,156
-13218,-218,2142,2527,-996,323
-9082,-2124,3296,1972,261,1270
-10060,-3508,5038,2255,1619,1923
-10932,-2794,1462,1855,1393,1996
-11096,-650,132,1698,1582,2074
-11590,-546,-1474,1323,863,2372
-16156,-422,-1778,440,795,2195
-19330,-1440,-1552,738,1371,1803
-19756,848,-1858,1804,26,1722
-17508,68,-870,1456,864,1350
-16318,282,-506,1575,2067,1436
-16140,50,-1076,1109,2613,1649
-17214,-406,-1842,1220,1920,1819
-16498,430,-4084,1022,1852,1804
-14848,2338,-4088,998,2039,2190
-16260,2616,-2888,295,1217,1909
-16978,-458,-2216,976,367,1453
-16140,804,-1836,1421,365,1212
-15470,1650,-978,1656,719,1279
-15952,2632,-3028,1043,370,1229
-16298,978,-3044,720,915,1124
-16590,1702,-2618,965,1169,1258
-16498,1892,-2232,866,940,1345
-15862,1706,-3098,490,712,1190
-15126,1156,-2018,376,1429,985
-15308,1420,-2530,431,1482,768
-15550,658,-1720,-277,1010,-355
-18362,3976,-1422,1027,212,731
-16700,4874,-5094,1399,353,2898
-16052,2522,-3228,457,341,2809
-17202,2788,-3290,713,-351,3371
-17084,2872,-4216,815,-1243,4046
-17038,4958,-4998,263,-2150,4296
-17310,5676,-3306,-29,-3009,4611
-16614,5272,-4080,129,-3690,4792
-15576,4820,-4708,93,-2923,4940
-14006,4148,-3586,598,-1966,4869
-12462,5414,-3092,690,-1380,4462
-13442,6236,-2514,343,-1455,4157
-14746,6550,-2528,413,-1420,4131
-13944,6210,-1124,690,-1727,4115
-13692,6794,-1424,763,-2770,4095
-13162,8746,-1300,453,-3072,4170
-12026,9074,-308,307,-2772,4165
-13170,8228,-420,528,-2446,3906
-14446,8518,-678,702,-2610,3713
-13760,9590,-692,360,-3268,3678
-12010,9392,890,338,-3284,3800
-12238,9374,78,683,-3075,3803
-13106,8498,-36,716,-2747,3872
-11972,9498,-64,905,-2946,4027
-10074,9934,1054,879,-2594,4005
-9664,10956,610,1157,-2422,3921
-10090,11540,572,909,-2146,3799
-9340,12598,-542,757,-1531,3759
-7924,14162,-14,656,-1115,3771
-9784,14130,1058,233,-1265,3589
-10604,13824,740,-425,-1270,3659
-9136,11300,3326,-351,-1668,3852
-9832,11360,2118,-40,-2174,3948
-8942,10696,2566,107,-865,3942
-3930,13460,1128,534,112,3699
-1696,15086,956,361,500,3228
-5958,14908,2232,286,-875,2819
-10714,15718,3214,200,-2812,2249
-9014,16872,3036,185,-4556,1795
-4478,16270,1926,492,-4831,1468
-3114,14974,950,574,-3460,1162
