center,bad
accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
-332,-1838,-1666,174,3120,-737
-26,-30,-1724,1289,3089,-538
-2284,6526,650,-936,2081,-1159
-1486,2200,-17156,-1745,445,-1657
-984,13996,-32768,2272,-1899,-2741
-12070,32767,32767,-2536,1845,-547
18,32767,-32768,253,-3763,-3976
-13936,-6458,23536,-5047,-1824,2204
4082,25122,-11224,-1081,-3446,1202
7682,31832,-5196,85,582,848
1166,24946,-4926,2685,-726,-1503
-3240,32767,-12764,590,-486,-2200
-2846,28530,-11854,-3795,144,-1312
-1894,27370,-5934,-2803,105,-636
-1036,29350,-4506,1376,752,28
-2400,32767,-18976,2308,794,-249
-3418,29338,-15542,-3203,1112,-185
-918,26392,-6414,-1057,1376,-179
-6392,25466,-8636,1530,316,-555
-3128,24070,-10264,2262,40,231
-2360,22112,-9140,2212,734,586
-2144,21120,-6096,3933,550,532
-3304,20192,-7092,3676,-317,-29
-1978,19224,-8944,2559,-730,217
-1316,19260,-9180,1403,203,822
-2014,19264,-7730,119,-1132,257
-3830,17942,-7072,349,-2423,2
-3342,18148,-5660,-134,-1882,-598
-638,18990,-7934,-1780,-574,-659
480,16944,-9546,-2446,-468,-331
-1912,13722,-8372,-2416,-776,-388
-2098,13284,-5528,-1813,-59,-436
-1266,12976,-5208,-1956,757,-180
136,10802,-2820,-2346,968,360
-508,10740,-4126,-1405,523,-190
-1254,12036,-5058,-1024,140,-503
804,12760,-5852,-1913,1657,157
2472,9264,-3396,-3560,3674,423
1542,7586,-286,-1880,3454,525
656,8980,-2616,-566,2274,852
464,7634,-3924,-2987,2113,761
960,7922,-2814,-2298,2065,386
-872,11572,-4752,-1460,-459,540
-1644,9770,-5092,-3584,-1150,568
222,7990,-2678,-2185,265,126
2544,9880,-4902,-1401,-697,-152
4002,10410,-4104,-1133,-902,234
-1000,10664,-2140,-937,112,-302
-4436,13966,-3628,2015,-1122,-823
-4404,23994,-5868,3873,-1830,31
-3168,25424,-8572,-2193,-2353,-503
-758,16320,-5596,-2319,-1504,-802
1350,13936,-4894,-1314,142,-138
760,12334,-3576,-595,636,-9
-1658,15228,-3454,576,75,156
-3314,14554,-2524,-844,-40,26
-3994,11168,-1988,-703,-218,176
-3904,12412,-1720,1180,-649,-34
-1930,17350,-5396,1561,-1252,-259
-606,18274,-6772,-187,-1297,-288
-1588,16272,-5348,-1410,-1391,-446
-3518,14702,-5324,-1746,-2366,-707
-2400,15870,-5796,-1269,-1676,-524
-1922,16916,-3634,-1258,-1253,55
-1600,16134,-3078,-1007,-581,432
-1430,15038,-1422,-1062,-117,106
-914,15688,-628,-301,-196,-3
-898,16336,-1848,-351,-428,143
-1570,16182,-2722,-757,-493,112
-1686,15116,-2114,-636,-478,-63
-1172,15758,-1540,-12,-83,-307
-904,16232,-2822,376,-107,-199
-758,16846,-3134,-36,145,-67
-1370,15782,-2640,-125,91,-19
-1358,15542,-2744,-193,5,13
-1702,15678,-2654,-118,-258,-24
-2068,16588,-3120,-137,-310,-6
-2084,16506,-3626,-572,-459,167
-1922,15516,-2290,-630,-585,209
-1904,15716,-1440,-497,-1003,45
-2614,16120,-1158,-310,-1359,97
-3054,16060,-1782,-259,-1517,270
-2314,16442,-2168,-359,-1573,263
-1678,16832,-2616,-700,-1326,122
-2066,15658,-1780,-633,-1081,249
-1750,14936,-1920,-21,-902,490
-1636,16586,-2306,182,-772,490
-2230,16440,-2320,18,-745,500
-2222,15958,-2526,-195,-999,597
-1572,15176,-2404,355,-1154,605
-1262,16844,-2094,322,-1233,651
-1424,17292,-2696,-397,-1748,562
-438,15784,-1654,-811,-2085,425
848,15754,-1828,-213,-1520,366
1032,15746,-2204,-164,-986,296
748,15712,-3428,87,-846,267
-390,16674,-3300,-283,-839,208
-304,16786,-2882,-481,-755,267
368,15434,-1838,-165,-498,383
820,15268,-2096,116,-515,381
694,16004,-2116,117,-519,225
224,16322,-2336,17,-504,83
694,16318,-2366,72,-692,108
922,15640,-2266,340,-448,138
1218,16032,-2216,464,-102,60
1274,16292,-2466,512,129,10
1250,16204,-2152,431,401,-4
874,15456,-1940,612,505,57
1024,15014,-1702,1208,778,112
1188,15628,-1702,1589,604,116
430,16988,-3370,1280,548,-4
672,17854,-3926,313,844,-59
1790,17172,-3656,16,758,-28
1380,16238,-3022,127,508,-57
364,15748,-2554,386,116,-66
-758,16202,-2564,319,-221,-116
-110,16514,-2860,62,-192,-194
1448,16020,-2498,53,143,-122
1254,15372,-2662,153,104,-170
220,15148,-2334,516,115,-110
-756,15836,-2736,819,-309,-119
-1138,16542,-3492,296,-524,-164
-328,16580,-2940,-29,-529,-173
648,16662,-2228,97,-646,-18
642,16624,-2780,261,-484,22
-168,16470,-3228,4,-759,-4
-1006,16606,-2164,-446,-1269,-29
-832,17064,-2580,-526,-1499,162
-598,16610,-2812,-809,-1341,263
-202,15626,-2152,-732,-1481,262
-760,15878,-2424,-289,-1530,259
-1058,16498,-3028,-275,-1565,263
-734,16386,-1702,-323,-1372,438
-540,16994,-1180,-299,-1772,480
-1836,16868,-1288,-198,-2083,450
-1110,15634,-2726,-80,-2272,150
-676,15198,-2084,-119,-2247,-81
-886,15298,-1372,-93,-2357,-112
-1636,15146,-2050,160,-2492,-75
-1426,16088,-2808,229,-2522,-26
-618,15776,-3216,-83,-2480,-41
440,15722,-2990,84,-2142,-76
832,16104,-3634,64,-1911,-24
1752,15374,-3778,168,-1457,151
3582,14680,-3850,433,-321,370
4520,13644,-2704,730,123,434
2438,14182,-1632,687,-418,265
54,15874,-2190,1080,-889,313
822,17544,-2736,1001,-1130,680
2142,17576,-2360,623,-1903,655
