bad_right,bad
accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
-716,16120,11930,944,-955,57
-20,18446,11084,746,-281,-25
-1812,17302,11402,42,-1017,-162
-1522,15716,10268,242,-1358,-197
-122,16116,9166,659,-526,-235
-364,16776,10324,385,-349,-169
-728,15814,9702,-186,-757,-242
-884,12468,8902,-506,-1080,-360
-1758,8848,11392,691,-1535,-153
-1490,9020,12316,1571,-910,-82
-836,10092,11582,1110,-84,-247
-330,10152,8798,298,-132,-453
-260,9424,8734,762,-39,-290
-912,9998,9692,807,408,-65
-1338,10824,9950,637,578,-30
-552,11142,8982,440,344,-313
-680,12886,10480,1183,467,-262
-1962,15214,11604,1405,234,-199
-2214,15752,9228,1168,-883,-122
-1546,18850,7080,948,-1328,-391
-1734,21608,7730,1358,-1461,-422
-1924,23408,5372,840,-1975,-422
-468,23506,988,1057,-1492,-39
1052,23056,1504,1753,150,31
490,16514,3338,1869,1568,202
-824,8880,9986,2797,1290,663
-816,8748,9196,2713,-341,938
392,11406,7356,2813,-805,732
-130,11260,6836,2754,-905,995
-882,11200,7330,2582,-1520,1246
1446,11554,5498,3639,-1571,1064
2654,12242,4700,4119,-1051,939
1550,12080,5612,4038,-761,1141
1944,13206,4650,4290,-307,1225
1004,14010,3264,4608,126,1177
1192,13066,3790,3940,-211,1179
1572,14284,1742,4058,230,956
-1122,14488,5416,4218,-11,874
-1218,14712,5774,3946,-268,1205
-1242,16638,2326,3827,-1391,1097
-1316,16286,2038,3456,-2078,1324
-26,16330,3012,4113,-1263,1914
844,15752,4732,4254,-1054,2419
-158,15610,2350,4244,-1437,3339
2728,16850,-1032,4009,147,3876
2762,16490,1254,3337,-286,4561
1530,15540,1308,2775,-1941,5054
1454,13412,1958,1868,-2428,5673
-714,9850,-1300,1510,-5222,6361
3954,12270,6166,1179,-4815,4858
3208,12734,2806,1794,-3350,5028
2752,8456,-8134,-1244,-4082,4861
896,1630,-2380,-1058,-3079,4474
-90,1394,664,575,-1360,3752
