center,bad
accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
792,8692,14450,393,237,-165
952,9654,12082,181,167,-226
1206,10552,12548,511,-1,-158
108,11134,12406,-83,-108,-56
-428,9832,13872,-478,-466,-144
-136,8668,14066,528,-103,-172
-18,9358,11968,663,-76,-122
352,9314,13004,489,-544,-134
560,9898,13308,427,-482,-214
564,9144,13426,712,-427,-214
1200,9484,12798,1190,168,-127
1186,9850,12372,773,173,-196
114,9804,12384,727,-264,-50
92,10692,12258,-102,-15,65
552,10078,13692,-693,-21,-346
120,8938,14590,669,-296,-398
-494,9890,12140,1002,-503,227
1024,10838,11652,-276,557,141
1348,11052,12950,-782,455,-518
-166,9866,14868,-157,-217,-468
-696,9168,12962,3,84,88
666,7496,15116,369,635,-147
508,8464,17384,3294,1417,-657
-1682,14982,7854,962,983,-274
-296,13846,8304,-918,732,43
1480,9922,10866,-155,945,91
722,7424,13398,2280,719,-70
-3150,10914,8590,2329,464,350
-2656,12692,8292,-31,457,918
1660,11692,12732,-864,713,1113
2440,9486,15168,146,477,692
-116,9468,12988,813,56,469
-2938,9094,10794,1186,379,589
-2174,8890,9900,1528,539,429
-62,9576,11264,2421,1232,163
1394,12142,9866,3258,1511,337
1242,12678,7764,2440,1674,501
220,12190,6632,3365,1982,567
-2872,12740,6682,4852,1716,923
-4228,14222,4000,5586,1890,1320
-2688,14280,2860,5109,1730,1508
194,14194,1574,5504,1767,1772
2226,13086,-566,6066,2294,1797
1712,9632,-714,7611,2647,1860
540,6458,-194,9423,2693,2029
378,5400,976,9164,2249,2167
-436,2240,4458,8609,1635,2776
682,-722,5896,9991,1732,2731
874,-100,722,9510,3594,2312
1866,1056,-2688,6365,2587,1998
1550,-1594,-558,6625,1734,2253
1452,-4222,968,8747,654,2215
4546,2542,1444,11704,2173,3094
3406,21356,-5376,7245,502,2968
-784,32767,-3652,567,-3364,2161
1328,32767,7888,4316,-1892,-1943
12242,32767,-3158,6307,583,-5452
8978,32767,4928,-753,3352,-2427
1374,20254,4092,-4374,5512,330
-2816,7082,5080,2394,7215,94
-1402,13404,1932,7461,5469,-1289
1006,28908,-2684,5621,2747,-981
-880,32767,-3834,1190,2226,833
-4464,30212,2034,1184,2171,1722
-3094,20300,3628,3955,-213,1026
1420,21470,492,4694,-1927,474
3472,23574,-3238,1588,-2773,-274
2478,21434,-3016,-70,-2757,-568
2006,18310,-2510,-140,-2719,-472
1598,14710,-2556,360,-2825,-293
1362,11462,-2176,1045,-2694,-27
1810,9484,-2228,980,-2072,96
2484,9258,-2812,678,-1770,-109
3272,10282,-2890,656,-1597,-358
2598,11318,-2104,1133,-1554,-346
886,12536,-3116,743,-1950,-114
-680,12294,-3496,-558,-2601,-283
-1292,11530,-3544,-1190,-2662,-604
-526,11246,-4044,-1393,-2895,-804
642,10472,-3824,-493,-3106,-1077
2202,11876,-4522,1943,-2377,-927
2502,19804,-6432,2449,263,-641
1900,23054,-5536,255,1819,-437
-1618,21376,-4936,-346,780,-225
-18470,20216,1234,-663,-1438,521
-4188,17250,-2602,-3280,-2161,-854
-1030,16284,-1180,-898,-1893,-581
1896,17572,-1876,-275,-1797,-570
1490,17690,-2340,-154,-1083,-381
-890,17718,-3226,-251,-821,-154
-2932,17232,-3544,468,-1211,745
-4454,14602,-3850,-219,-1657,-317
-3256,12126,-2878,-1467,-2469,-2309
-28,13246,-1938,-1383,-2399,-3008
-472,14916,-638,-583,-2066,-1931
-2344,14880,-676,372,-1681,-650
-3678,15458,-2048,952,-1622,-416
-2746,14948,-2046,-867,-2552,-1013
-1468,15322,-1658,-1511,-2378,-1116
-1288,15510,-1210,-949,-1519,-522
-510,16948,-1324,-571,-1195,-109
240,16602,-984,-865,-642,107
244,16304,-1314,-597,54,338
-270,16404,-1982,-948,713,641
-1496,16366,-1216,-1093,1071,730
-2706,16168,-580,-1015,907,588
-3080,15728,-916,-837,778,600
-2168,16546,-1372,-591,765,817
-828,16570,-1432,-1037,877,953
-736,15600,-894,-1243,1113,887
-1042,15468,-528,-794,855,794
-1318,16162,-1050,-754,493,834
-1054,15964,-1418,-901,639,690
-758,15426,-1106,-532,912,465
-350,15750,-1090,12,1054,395
24,16554,-1082,4,1189,480
-670,17072,-904,-244,1210,481
-1542,17196,-984,-425,812,369
-642,17228,-1644,-671,437,390
98,16090,-1414,-1356,200,-3
-70,16418,-1676,-1106,74,37
368,16534,-2062,-1065,-200,58
-104,15886,-1166,-1409,-603,-116
-700,14792,-730,-1166,-1112,-125
-716,14578,-1132,-633,-1573,-118
-750,14966,-1040,-679,-2070,-344
-660,15016,-372,-353,-2324,-574
-210,16060,-458,50,-2338,-562
174,16256,-2,652,-1951,-228
40,15818,-150,999,-1603,-147
-564,15260,-382,1439,-1474,-375
-580,15940,-802,2281,-1599,-553
-170,17048,-814,2362,-1874,-618
-158,17912,-1384,1884,-2070,-751
22,17192,-1248,1099,-1724,-1061
202,16212,-604,1220,-1390,-1288
24,16780,-760,1552,-1139,-1205
-1140,17052,-1208,1293,-993,-1036
-1264,16492,-1278,962,-801,-935
-586,16148,-1012,517,-238,-755
360,15712,-8,595,177,-620
-158,16780,-1078,520,98,-472
-1176,17524,-2114,-473,265,-182
-1530,16830,-1552,-593,283,-86
-1694,16016,-1774,-266,140,-68
-1294,15838,-2162,-75,22,-110
-1094,15754,-2576,-95,-57,-331
-976,15746,-2638,6,-206,-581
-970,15818,-2094,100,-448,-621
-1550,15412,-1886,94,-408,-655
