center,good
accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
-1424,13482,8628,433,-259,-234
-746,13570,8166,412,-265,-284
-734,13468,8262,297,-145,-191
-626,12874,8954,364,63,-181
-632,12838,8280,460,74,-226
-402,13272,7566,686,280,-275
-798,13482,7642,431,333,-288
-1408,12682,7620,352,460,-243
-1428,12058,6978,534,535,-119
-766,11412,6720,681,751,-16
-124,11332,6718,1159,859,-116
-1146,12678,5788,1161,210,-138
-1988,12668,4722,751,-35,-7
-392,11684,4662,402,410,47
1006,10424,4904,936,983,-96
866,12160,3650,2045,1420,-106
-1608,13458,2438,1659,188,-120
-2646,12868,3516,1766,-429,-32
-2284,14086,4776,2331,-793,-121
-2054,15882,3856,2595,-848,208
-1846,18154,1932,2385,-443,500
-484,21536,3632,2421,264,180
316,25018,520,3182,384,31
-766,26616,-3374,4350,1400,52
-130,26048,-4472,5315,2143,458
1732,19950,-3026,6692,2735,1292
-16,17676,3730,8002,4408,1563
-3478,21658,7690,8142,3857,2060
-4338,15086,9874,5581,2236,2627
-690,7750,7534,5672,1318,1996
-1834,6898,6484,5829,1752,1130
-6762,14124,3540,4077,290,847
-3528,13636,6006,2648,272,1325
1074,9198,6022,2764,-696,718
460,5960,3280,1593,-390,141
-222,4318,1878,1338,-141,52
-296,3580,308,859,120,604
216,1118,124,442,373,984
192,-210,240,59,963,440
556,368,250,191,489,-442
-208,3256,-270,-232,-514,-849
-1752,4248,1256,-542,-752,-462
-488,2608,1324,-500,-516,-7
1888,578,-378,532,-604,205
2652,1182,-2132,1265,-638,23
1308,1714,-1934,1072,-749,-182
332,-694,-754,1592,-575,46
2554,-1840,-2422,3316,242,650
3682,244,-6898,3791,1752,708
776,626,-2950,3828,2057,242
-1756,-2142,-6786,5055,793,386
3320,7728,-32768,3937,-1831,-2672
-1806,32767,-32556,3365,-740,-2801
5034,32767,9058,-6551,-324,3134
3116,32767,788,-9231,1269,-2796
-750,11788,-11558,-4912,2171,-960
-316,27044,-3424,-7618,2899,-2073
-1908,29732,-250,-7326,1218,-1852
-5588,26532,-4954,-7027,1378,-1239
-2070,27230,-6446,-5851,-843,-1101
2688,25534,-20058,-7703,-1937,-416
-2452,12500,-2248,-10446,-1979,-228
198,9402,1982,-6222,-1770,979
822,5872,-1074,-7712,-1985,1006
8966,14266,-12464,-11081,-880,-316
-8616,32767,30846,-20537,316,-2951
-15124,32767,32767,-25351,-3,-3776
-4874,32767,32767,-26690,-431,-4190
576,16296,25564,-23576,-1208,-5054
1872,13202,6782,-22056,-571,-5130
882,5470,4826,-18920,29,-4319
-3116,-722,6100,-16424,-673,-2238
10554,-11950,7082,-16283,-1464,-3506
6858,-9230,12856,-17594,-653,-3415
960,-11166,22780,-17614,1309,-1964
-4684,-14850,25482,-15566,2645,-793
-6760,-16454,29926,-12507,2867,-704
-4904,-11430,30516,-8951,-335,-1374
-4006,-3594,15142,-8610,-568,-2030
-5176,-9938,14068,-9782,-422,-1208
-2544,-13264,11082,-9771,282,-631
-434,-10960,11246,-10336,-843,-1416
-572,-11412,8752,-10060,-1355,-1628
858,-14656,6538,-7475,2537,-665
-1480,-14684,17632,-4673,4536,-1226
-3190,-10562,9612,-4299,-1200,-2023
-2266,-9614,6146,-5163,-2336,-1179
-752,-14180,4578,-3493,121,-343
-782,-14024,3346,-2765,427,-833
-688,-12314,5086,-3069,340,-1063
-898,-12038,4856,-2652,-35,-839
-768,-12320,2904,-2333,793,-376
-274,-14252,6208,-1399,1975,-228
-782,-13982,6402,-785,113,-610
-1640,-14342,8646,526,-455,-435
-2530,-13088,2610,1410,-325,382
-482,-13122,3230,1997,257,613
-360,-13304,3334,2710,-171,504
110,-11364,2264,2913,411,782
148,-11996,6008,3636,1001,749
-292,-12876,4830,4594,656,965
-1116,-12772,5428,5313,377,1142
-2154,-13700,7368,6655,-291,1432
-2346,-12480,9876,8761,-834,1736
-2346,-7916,7522,11594,-189,2148
690,-5072,766,10393,-653,2162
-500,-8430,10086,10347,-763,2271
-4504,-11864,22470,14966,-2,2974
1714,-8628,13670,17566,-107,3071
-3298,-176,26634,15469,506,2161
-5894,794,32767,12652,1250,2013
-8982,5356,30416,6796,997,1022
-6002,4608,30014,22,521,249
-4028,2376,22650,-292,236,-272
-3086,2142,9656,426,166,-524
-1164,6332,7450,-1043,310,-674
-622,4684,14206,341,760,-306
-664,4596,11580,2335,663,478
-1966,2920,11536,1078,784,388
-4726,-560,15922,456,307,193
-5088,-2676,15926,1538,627,529
-3952,1092,13530,1152,325,-121
-4130,2486,16972,661,465,-489
-5432,2724,17938,564,-64,-547
-3830,694,15708,861,346,-419
-2914,1884,16048,776,568,-474
-3228,1894,15866,141,338,-486
-3362,712,16358,67,180,-361
-3828,-420,14474,97,212,-305
-3222,320,14900,119,743,-290
-3488,466,17164,-111,443,-207
-4978,500,15434,-92,-11,-100
-5368,-12,15284,145,268,-55
-4528,138,16524,268,462,-52
-4442,948,14764,-71,-142,-242
-4422,848,15534,-395,-199,-335
-4856,52,16012,-334,-324,-292
-4650,124,14856,-477,-468,-288
-3946,-200,15670,-421,-221,-236
-3956,-124,15706,-436,-154,-117
-4340,-144,15982,-530,-386,-108
-4142,-250,15994,-495,-199,-71
-3706,-72,15502,-369,-74,-64
-4208,278,15226,-648,-240,-120
-4166,-12,15760,-762,-290,-149
-4236,-186,15974,-927,-701,-190
-3622,-674,15498,-744,-757,-160
-3252,-864,16220,-649,-183,-63
-3332,-880,15936,-601,-145,-62
-3286,-776,15938,-486,-229,-181
